Nº;MES;DIRIGIDA A;TIPO;DETALLE;;;;;;;;;;;;;;;;;;;;;;;
150;2;GESTION INTERNA;SUGERENCIA;"los trámites digitales deberían tener respuesta mas rápida.
las demoras suelen ser demasiado lentas en el tiempo";;;;;;;;;;;;;;;;;;;;;;;
151;2;ATENCION CONTRIBUYENTE;SUGERENCIA;para algunos tramites deberían brindar mejor asesoramiento telefonico.;;;;;;;;;;;;;;;;;;;;;;;
152;2;SISTEMAS;FELICITACIONES;excelente ;;;;;;;;;;;;;;;;;;;;;;;
153;2;SISTEMAS;SUGERENCIA;una app urgente para descargar ;;;;;;;;;;;;;;;;;;;;;;;
154;2;ATENCION CONTRIBUYENTE;QUEJA;se necesita poder realizar mas tramites, es imposible comunicarse al 148;;;;;;;;;;;;;;;;;;;;;;;
155;2;GESTION INTERNA;QUEJA;deberian controlar con regularidad la info contenida ya que he perdido un gran y necesario beneficio como es la tasa reducida por no impactar los pagos que hice hace mas de tres semanas y ademas figuran apremios que nadie sabe decirme quien los tiene o donde pagar y no fueron notificados;;;;;;;;;;;;;;;;;;;;;;;
156;2;SISTEMAS;SUGERENCIA;sugiero poder gestionar tramites como por ejemplo solicitud de sellado desde una cuenta para varios contribuyente.;;;;;;;;;;;;;;;;;;;;;;;
157;2;GESTION INTERNA;QUEJA;un trámite de sellado de un contrato que presencialmente se efectúa en el momento, tardó casi 15 días en que me enviaran la boleta de pago. 15 dias!!!!;;;;;;;;;;;;;;;;;;;;;;;
158;2;SISTEMAS;SUGERENCIA;sugiero mayor claridad en las consignas para iniciar un trámite.;;;;;;;;;;;;;;;;;;;;;;;
159;2;SISTEMAS;QUEJA;las instrucciones de esta plataforma deberían ser todas en castellano. la plataforma no sirve para nada. tendría un listado interminable de errores. un desastre;;;;;;;;;;;;;;;;;;;;;;;
160;2;SISTEMAS;SUGERENCIA;mayor discriminación de trámites, son muy generales;;;;;;;;;;;;;;;;;;;;;;;
161;2;;VARIOS;enviar los boletos por e mail. semgimenez@yahoo.com.ar;;;;;;;;;;;;;;;;;;;;;;;
162;2;SISTEMAS;SUGERENCIA;mayor detalle o trámites a realizar por via web;;;;;;;;;;;;;;;;;;;;;;;
163;2;SISTEMAS;RECLAMO;verificar pagos duplicados y no sólo pago adeudados;;;;;;;;;;;;;;;;;;;;;;;
164;2;ATENCION CONTRIBUYENTE;QUEJA;ante consultas por inconvenientes en los tramites no contestan;;;;;;;;;;;;;;;;;;;;;;;
165;2;SISTEMAS;RECLAMO;no es posible que exijan acompañar los certificados de tasa cero para los sellados, cuando son ustedes los que la emiten. es engorroso y podrían falsificarlos.;;;;;;;;;;;;;;;;;;;;;;;
166;2;SISTEMAS;SUGERENCIA;seria bueno poder ver las deudas de patentes e incluso al descargarla que vaya con el interes correspondiente.;;;;;;;;;;;;;;;;;;;;;;;
167;2;ATENCION CONTRIBUYENTE;RECLAMO;mas agilidad en los tramites y que atiendan el 148;;;;;;;;;;;;;;;;;;;;;;;
168;2;SISTEMAS;FELICITACIONES;"la pagina y el sistema es maravilloso, solo que en la zona este no son eficientes ni rápidos; no así el resto de las zonas que trabajan muy bien.";;;;;;;;;;;;;;;;;;;;;;;
169;2;SISTEMAS;RECLAMO;es poco claro cuando se tiene que adjuntar documentacion el tema firma;;;;;;;;;;;;;;;;;;;;;;;
170;2;SISTEMAS;RECLAMO;la seccion tramites on line es poco clara ,sobre todo en el tema de la firma tampoco permite ver que archivos se adjuntaron una vez< presentada;;;;;;;;;;;;;;;;;;;;;;;
171;2;GESTION INTERNA;QUEJA;por que me cobran ingresos brutos si soy jubilada con la mínima;;;;;;;;;;;;;;;;;;;;;;;
172;2;SISTEMAS;SUGERENCIA;estaria bueno tener una espacio de consulta más rápido y agil y no tener que esperar días a que te respondan o abrir un tramite para sacarte una duda y esperar nuevamente días a que te vuelvan a responder. ;;;;;;;;;;;;;;;;;;;;;;;
173;2;CATASTRO;RECLAMO;los expedientes de catastro tienen una demora muy grande y detienen el poco tráfico inmobiliario perjudicando a los profesionales y propietarios;;;;;;;;;;;;;;;;;;;;;;;
174;2;SISTEMAS;SUGERENCIA;el envío de archivos adjuntos podría ser también en jpg porque la mayoría se fotografían;;;;;;;;;;;;;;;;;;;;;;;
175;2;SISTEMAS;RECLAMO;el unico incoveniente , que se me presento es el de no poder usar el item de beneficio de litigar  sin gastos;;;;;;;;;;;;;;;;;;;;;;;
176;2;SISTEMAS;SUGERENCIA;"se podría incorporar un ""seguimiento web"" para ver el estado en el cual se encuentran los trámites iniciados. y también se podría incorporar un nivel de clasificación según la importancia de cada gestión. p/ej: hay días en los cuales la constancia de cumplimiento fiscal es primordial, y a veces perder tres dias (fin de semana), genera perder una licitación o calificar en un pedido grande de proveedores. hay trámites mucho más importantes que otros...muchas gracias!!";;;;;;;;;;;;;;;;;;;;;;;
177;2;SISTEMAS;SUGERENCIA;podría haber un instructivo mas detallado para la sección mis tramites online;;;;;;;;;;;;;;;;;;;;;;;
178;2;ATENCION CONTRIBUYENTE;QUEJA;me cansé de llamar al 148 interno 1 para que me asesoraran sobre este tema de sellos y nunca me atendieron.;;;;;;;;;;;;;;;;;;;;;;;
179;2;SISTEMAS;QUEJA;resulta un poco engorroso el tema de los planes de pago, su constitución y luego acceder a ellos;;;;;;;;;;;;;;;;;;;;;;;
180;2;SISTEMAS;FELICITACIONES;los trámites son más ágiles por este medio.;;;;;;;;;;;;;;;;;;;;;;;
181;2;GESTION INTERNA;RECLAMO;la respuesta en cuanto a ciertos tr{amites que no se pueden resolver por web es muy lenta;;;;;;;;;;;;;;;;;;;;;;;
182;2;SISTEMAS;RECLAMO;hay algunos puntos en la pagina que no estan bien resueltos y dejan dudas. un ejemplo es el expediente que he iniciado puesto que cuando pague un impuesto impago, no me sumo los intereses y ahora han quedado pendientes sin permitirme pagarlos.;;;;;;;;;;;;;;;;;;;;;;;
183;2;SISTEMAS;RECLAMO;los contratos de locacion de inmueble no figuran, los items no son claros para un particular,  nos han enviado a todos los particulares a la pagina y esta no es clara. ;;;;;;;;;;;;;;;;;;;;;;;
184;2;SISTEMAS;QUEJA;me costo descargar el boleto de pago link;;;;;;;;;;;;;;;;;;;;;;;
185;2;;VARIOS;la pregunta 4 me parece que no corresponde en la instancia de este cuestionario, siendo que recién se está ingresando el trámite para ser resuelto, no puedo contestar sobre algo que recién se está iniciando, por eso la respuesta en este momento es nada satisfactoria, me parece importante aclararlo;;;;;;;;;;;;;;;;;;;;;;;
186;2;SISTEMAS;QUEJA;el sistema cuando determina una deuda y uno la cancela continua generando intereses y no notifica al usuario, generandodeuda de manera inecesaria e injusta ;;;;;;;;;;;;;;;;;;;;;;;
187;3;SISTEMAS;QUEJA;"el seguimiento de los trámites en ""mis trámites"" es un tanto confuso, principalmente a la hora de leer y responder observaciones.";;;;;;;;;;;;;;;;;;;;;;;
188;3;;VARIOS;"cuando se resuelva mi solicitud de contribuyente cumplidor en el imp. al automotor, podré calificar mejor el trámite en ""mis trámites""";;;;;;;;;;;;;;;;;;;;;;;
189;3;SISTEMAS;SUGERENCIA;deben tener canales de números de teléfono para comunicarse con algún asesor de atm a traves de whatap;;;;;;;;;;;;;;;;;;;;;;;
190;3;GESTION INTERNA;QUEJA;nececitaria una respuesta mas agil de la resolucion de tramites;;;;;;;;;;;;;;;;;;;;;;;
191;3;SISTEMAS;QUEJA;"pesima pagina !!!!!! hecha por incompetentes  e inutiles, estoy muy insatisfecho, nada funciona como deberia, un desastre , pefiero ir a la bolsa de comercio, 
dinero mal gastado en pagina inutil !!!!";;;;;;;;;;;;;;;;;;;;;;;
192;3;SISTEMAS;QUEJA;no se entiende muy bien cómo realizar el trámite de sellados web;;;;;;;;;;;;;;;;;;;;;;;
193;3;SISTEMAS;SUGERENCIA;me gustaria poder sacar de otras personas por ser gestora del automotor;;;;;;;;;;;;;;;;;;;;;;;
194;3;GESTION INTERNA;QUEJA;tengo un problema que no puedo resolverlo virtualmente ;;;;;;;;;;;;;;;;;;;;;;;
195;3;SISTEMAS;SUGERENCIA;mejorar la búsqueda de normativa;;;;;;;;;;;;;;;;;;;;;;;
196;3;CATASTRO;QUEJA;la verdad que no es satisfactorio el sistema por qué hace una semana que pedí un par de planos para terminar un trámite, y no me prestaron atención, sigo esperando que me resuelvan el trámite ;;;;;;;;;;;;;;;;;;;;;;;
197;3;GESTION INTERNA;QUEJA;inicie un tramite el 9/2/21 para baja del impuesto automotor por transferencia y no he tenido novedades al respecto. la responsable es patricia giron ( de atm);;;;;;;;;;;;;;;;;;;;;;;
198;3;GESTION INTERNA;QUEJA;inicie un reclamo por la primera cuota de patente 2020 que figura impaga la cual fue abonada en tiempo y forma, no se si esta bien donde realice el reclamo, por que en atm zona este no fueron muy claros con respecto a la manera en que debo realizar mi reclamo que según ellos es solo on line, espero respuesta favorable gracias. ;;;;;;;;;;;;;;;;;;;;;;;
199;3;SISTEMAS;RECLAMO;deben mejorar  el sistema sellos web;;;;;;;;;;;;;;;;;;;;;;;
200;3;SISTEMAS;RECLAMO;aplicacion poco intituitiva, deberia poder resolverse impuesto de sellos de pagares, liquidaciones de subasta, etc. en forma autmoatica por sistema y no por medio de expediente, ya que demora mucho tiempo en liquidarse y a veces deben ser presentados en tribunales en forma urgente.-;;;;;;;;;;;;;;;;;;;;;;;
201;3;SISTEMAS;RECLAMO;tuve que ir a ventanilla unica para que me explicaran como realizar un boleto de pago por un impuestos a los sellos. el video tutorial no era aplicable a mi caso...deben ser mas claros con los videos tutoriales. yo me considero una persona que esta al tanto de los medios electronicos, pero muchas personas no tienen acceso o conocimientos de paginas web y no podrian concretar estos tramites. deberian considerar a ese sector de la poblacion. en definitiva todos en algun momento debemos pasar por las oficinas para que una persona real nos explique, y el tiempo que demoro en explicarme me hubiera echo el tramite. tal vez lo ideal es que una persona realice el tramite por ventanilla unica y que le explique a la persona a realizarlo ella misma para otra oportunidad;;;;;;;;;;;;;;;;;;;;;;;
202;3;ATENCION CONTRIBUYENTE;QUEJA;atiendan el teléfono;;;;;;;;;;;;;;;;;;;;;;;
203;3;GESTION INTERNA;SUGERENCIA;responder de forma mas eficiente y rápido, los tramites en linea;;;;;;;;;;;;;;;;;;;;;;;
204;3;GESTION INTERNA;RECLAMO;trataría de que se contestaran todos los trámites a distancia, porque por ejemplo estoy esperando que me respondan una consulta desde hace mas de un mes y se me cayó el plan de pagos que quiero regularizar.;;;;;;;;;;;;;;;;;;;;;;;
205;3;SISTEMAS;RECLAMO;hay q ver cm poder cambiar la contraseña de otra manera ya q parece q tuve un error al ingresar el correo mío y no me llega para poner la clave y quiero volver a registrarme pero no m deja x lo q ya puse el cuil;;;;;;;;;;;;;;;;;;;;;;;
206;3;SISTEMAS;QUEJA;necesitamos respuesta a inconvenientes y no encontramos canales;;;;;;;;;;;;;;;;;;;;;;;
207;3;ATENCION CONTRIBUYENTE;RECLAMO;se debería agregar/generar una línea telefónica de consulta para evacuar dudas cuando uno llena los formularios electrónicos.;;;;;;;;;;;;;;;;;;;;;;;
208;3;ATENCION CONTRIBUYENTE;QUEJA;respuestas demasiado programadas a veces no atienden al problema real;;;;;;;;;;;;;;;;;;;;;;;
209;3;SISTEMAS;FELICITACIONES;todo bien;;;;;;;;;;;;;;;;;;;;;;;
210;3;SISTEMAS;SUGERENCIA;me preguntan por la creación de usuario y tengo hace años. la sugerencia es que se pueda hacer todo el trámite de tasa de justicia en un solo lugar.;;;;;;;;;;;;;;;;;;;;;;;
211;3;SISTEMAS;FELICITACIONES;ninguna. la oficina virtual es totalmente optima para todo tipo de tramite.;;;;;;;;;;;;;;;;;;;;;;;
212;3;SISTEMAS;SUGERENCIA;las demoras de mas de dos días para generar un boleto de un código me parece demasiado tiempo. podría hasta ser automático ;;;;;;;;;;;;;;;;;;;;;;;
213;3;GESTION INTERNA;RECLAMO;menos demora en los sellados ;;;;;;;;;;;;;;;;;;;;;;;
214;3;ATENCION CONTRIBUYENTE;RECLAMO;deberian atender personalmente, a los viejitos nos resulta dificil hacer tramites por internet;;;;;;;;;;;;;;;;;;;;;;;
215;3;;VARIOS;la encuesta deberia ser una vez obtenido el tramite , no antes, xq no sabemos si se resolvio y de que forma.;;;;;;;;;;;;;;;;;;;;;;;
216;3;CATASTRO;RECLAMO;el sistema nsit o elsayges tienen un tiempo y el sistema te saca dejandonos colgados y con la necesidad de volver a ingresar toda la documentacion. deberia dejar estos sistemas sin corte de tiempo y la pagina cuentas claras con el tiempo que consideren conveniente;;;;;;;;;;;;;;;;;;;;;;;
217;3;SISTEMAS;RECLAMO;"al querer realizar una consulta no hay opciones, chat, mail, etc
y estimo que debo generar un expdte electronico, pero la forma en la que lo presentan genera temor, (como en que me estoy metiendo si hago esto)
 además quedan dudas si fue realizado con exito o no.";;;;;;;;;;;;;;;;;;;;;;;
218;3;ATENCION CONTRIBUYENTE;QUEJA;posibilidad de hablar con alguien telefonicamente no atiende nadie el 148;;;;;;;;;;;;;;;;;;;;;;;
219;3;SISTEMAS;SUGERENCIA;explicaciones de los trámites paso a paso, más explicados por ejemplo hice domicilio fiscal y no tengo idea que significa;;;;;;;;;;;;;;;;;;;;;;;
220;3;SISTEMAS;FELICITACIONES;muy bien todo !!!!!;;;;;;;;;;;;;;;;;;;;;;;
221;3;SISTEMAS;QUEJA;es muy complidado los tramites que no son comunes como patente, inmobiliario.se tarda mucho exigen demasiado no hay rapidez, es complejo llegar al instructivo. no informan bien en el edificio cuando se saca turno. los turno no llegan al correo gmail;;;;;;;;;;;;;;;;;;;;;;;
222;3;ATENCION CONTRIBUYENTE;RECLAMO;me parece innecesario tener que ir personalmente a la oficina de san martin , despues de la presentacion via web. deberia quedar solucionado por este medio;;;;;;;;;;;;;;;;;;;;;;;
223;3;SISTEMAS;QUEJA;tuve que hacer por tercera vez el tramite, porque las veces anteriores la carga fue muy lenta;;;;;;;;;;;;;;;;;;;;;;;
224;3;SISTEMAS;QUEJA;buen día no me resulta agil la gestión de tramite por baja por robo y libre deuda de mi moto dominio a098osj xq envie la documentación que solicitan, pero dice observado y no es clara la respuesta xq no interpreto el mensaje xq no me dice que debo hacer;;;;;;;;;;;;;;;;;;;;;;;
225;3;SISTEMAS;RECLAMO;los tramites para las empresas de caba no tienen la opcion para poner esa zona y uno tiene que poner otra zona por descarte, seria bueno que agreguen zona que no sea mendoza;;;;;;;;;;;;;;;;;;;;;;;
226;3;CATASTRO;QUEJA;en lo particular trabajo mucho con nsit, el peor sistema de informacion que vi en mi vida, no funciona.;;;;;;;;;;;;;;;;;;;;;;;
227;3;SISTEMAS;RECLAMO;debería ser mas facil la recuperacion de contraseñas, la gestion de sellados de contratos, para personas de todas las edades;;;;;;;;;;;;;;;;;;;;;;;
228;3;GESTION INTERNA;QUEJA;el tramite ee 535732020 lo iniciamos el 14/12/20 y todavía no tenemos respuesta espero que no lo archiven como hacen siempre con todos los trámites iniciados ;;;;;;;;;;;;;;;;;;;;;;;
229;3;SISTEMAS;RECLAMO;"- mejorar y adicionar formas de pago online, tipo vep, cbu, y que funcionen!!
- resolver los problemas de sistemas en cuanto a la ""integración"" con los pagos de afip
- incorporar la opción de reclamos";;;;;;;;;;;;;;;;;;;;;;;
230;3;SISTEMAS;QUEJA;cuando observan un expediente electronico, no da posibilidad de poder agregar lo observado, teniendo asi que iniciar un nuevo ee ;;;;;;;;;;;;;;;;;;;;;;;
231;3;SISTEMAS;FELICITACIONES;excelente;;;;;;;;;;;;;;;;;;;;;;;
232;3;SISTEMAS;FELICITACIONES;encuentro que el sistema es agil. pueda ser que sea resolutivo también. gracias;;;;;;;;;;;;;;;;;;;;;;;
233;3;ATENCION CONTRIBUYENTE;RECLAMO;en san rafael no otorgan turnos. que agilicen la entrega de utrnos;;;;;;;;;;;;;;;;;;;;;;;
234;3;GESTION INTERNA;QUEJA;quiero sellar una orden de publicidad y la rebotan 3 veces lo vengo haciendo siempre pero ahora no funciona como antes y no veo la forma de solucionarlo;;;;;;;;;;;;;;;;;;;;;;;
235;3;GESTION INTERNA;QUEJA;los expedientes los pasan a archivo sin ser resueltos. y sin notificar falencias en la documentación. para dar de alta a una sociedad en ingresos brutos , tuve que enviar 3 veces la documentación y aun no me lo resuelven. mas de 3 meses haciendo el trámite. una verguenza.;;;;;;;;;;;;;;;;;;;;;;;
236;3;SISTEMAS;SUGERENCIA;deberían subirse más instructivos donde resolver las observaciones que se generaren a los e.e. para lograr así una mayor eficacia y eficiencia;;;;;;;;;;;;;;;;;;;;;;;
237;3;SISTEMAS;FELICITACIONES;me gusta la página porque no es necesario que valla a las oficinas de atm;;;;;;;;;;;;;;;;;;;;;;;
238;3;SISTEMAS;RECLAMO;en sellado de contratos, se sugiere que esté la opción de usufructuarios, que actualmente no está.;;;;;;;;;;;;;;;;;;;;;;;
239;3;SISTEMAS;FELICITACIONES;ingresé mi trámite sin inconvenientes.;;;;;;;;;;;;;;;;;;;;;;;
240;3;SISTEMAS;QUEJA;para el crédito por automotor 2021, su página no funciona, ya que no me muestra mi vehículo, por tanto a la hora de intentar guardar la solicitud de crédito a mi favor, no me deja hacerlo. error grave de la página.;;;;;;;;;;;;;;;;;;;;;;;
241;3;SISTEMAS;RECLAMO;la plataforma mis tramites, es difícil de acceder, estan escondidos los tramites. se dificulta trabajar con facilidad, sobre todo al comienzo. yo cambiaría para mas facilidad las opciones y la visibilidad de las mismas.-;;;;;;;;;;;;;;;;;;;;;;;
242;3;GESTION INTERNA;SUGERENCIA;la resolución de los trámites  debería ser más  rápido.-;;;;;;;;;;;;;;;;;;;;;;;
243;3;GESTION INTERNA;SUGERENCIA;permitir que lo martilleros tengan prioridada;;;;;;;;;;;;;;;;;;;;;;;
244;3;;VARIOS;"el trámite iniciado está en proceso. por eso he evaluado como no satisfactorio ""el trámite que realizó dentro de mis trámites fue resuelto de forma:""";;;;;;;;;;;;;;;;;;;;;;;
245;3;ATENCION CONTRIBUYENTE;RECLAMO;el 148 o el 0800 no funciona correctamente. ampliaria la posibilidad de realiizar a tramites a contribuyentes.;;;;;;;;;;;;;;;;;;;;;;;
246;3;GESTION INTERNA;QUEJA;lo peor que han creado en atm es el expediente electrónico, nadie resuelve los tramites y pueden pasar 3 meses sin solución. es una vergüenza, que le paguen a la gente y no trabaje. ñoquis;;;;;;;;;;;;;;;;;;;;;;;
247;3;;VARIOS;quisiera consultar cómo debo inscribirme para pagar atm, ya que ahora seré monotributista;;;;;;;;;;;;;;;;;;;;;;;
248;3;GESTION INTERNA;RECLAMO;necesitamos que las respuestas a laos tramites sean claras y rapidas como cuando ibamos personalmente, gracias;;;;;;;;;;;;;;;;;;;;;;;
249;3;ATENCION CONTRIBUYENTE;QUEJA;deben atender y responder los correos de consulta del contribuyente. hace mas de veinte días que hice una consulta y nada....el recurso humano es un deprimente;;;;;;;;;;;;;;;;;;;;;;;
250;3;GESTION INTERNA;QUEJA;confuso cuando se quiere preguntar algo. no actualizados los pagos;;;;;;;;;;;;;;;;;;;;;;;
251;3;ATENCION CONTRIBUYENTE;SUGERENCIA;capacitar al personal en materia educativa, ética y tacto con la gente.;;;;;;;;;;;;;;;;;;;;;;;
252;3;ATENCION CONTRIBUYENTE;RECLAMO;que mejoren la interacción dentro de trámites on line. sugiero esto porque el día 27/02 solicite alta en ingresos brutos. se me pidió adjuntar documentación,lo cual hice pero a hoy (previo envío de chat nunca respondidos por operador celestino herrera) no tengo respuesta. por lo que nuevamente solicite el trámite de alta espero sea resuelto a la brevedad posible así puedo facturar. y el 148 no da respuesta al tema.  ;;;;;;;;;;;;;;;;;;;;;;;
253;3;SISTEMAS;FELICITACIONES;"en cuanto a la resolucion del reclamo respondi muy satifactorio porque no me dejaba terminar la encuesta pero recien inicicio el tramite por lo que no se como sera la resulucion del mismo en tiempo y forma
pero consideo muy ejecutiva la pagina y muy comoda ";;;;;;;;;;;;;;;;;;;;;;;
254;3;SISTEMAS;SUGERENCIA;"si bien ya se como realizar el inicio de un expediente por ahí me resulta un poquito confuso dar con trámites remoto tal vez es más directo ""iniciar expediente"" o similar o resaltado de otra manera ";;;;;;;;;;;;;;;;;;;;;;;
255;3;SISTEMAS;QUEJA;necesito actualizar mi correo electrónico (cambiarlo) y me resulto imposible. el viejo patodel62@hotmail.com  el actual  patonasif@yahoo.com.ar , si lo pueden hacer ustedes: agradecida, sino, por favor contactarse conmigo al nuevo correo por favor. o al celular 2613678939. gracias ;;;;;;;;;;;;;;;;;;;;;;;
256;3;SISTEMAS;SUGERENCIA;actualizar al dia de pago el impuesto atrasado y asi evitar ir personalmente a bolsa de comercio a buscar papel para hacer pago por ventanilla. enviar cupon de pago online de cuotas vencidas. informar vencimiento de impuestos por mail- como recordatorio -;;;;;;;;;;;;;;;;;;;;;;;
257;3;GESTION INTERNA;QUEJA;respondan más rápido;;;;;;;;;;;;;;;;;;;;;;;
258;3;;VARIOS;el trámite que inicié todavía no ha sido resuelto, por lo que no puedo decir si estoy satisfecho o no!;;;;;;;;;;;;;;;;;;;;;;;
259;3;SISTEMAS;QUEJA;"algunos trámites no están claros, y hay una respuesta ""nada satisfactoria"", porque la encuesta se realiza antes de la resolución del trámite y como ""sugerencia"" poner un poco más de atención con el n° 148 ya que es imposible comunicarse con el mismo";;;;;;;;;;;;;;;;;;;;;;;
260;3;GESTION INTERNA;RECLAMO;sería bueno que los trámites fuesen resueltos con más celeridad, ya que hemos presentado otro trámite por mi padre y lleva 20 días sin ser resuelto, mientras acrecentamos el saldo a favor de iibb.;;;;;;;;;;;;;;;;;;;;;;;
261;3;SISTEMAS;RECLAMO;debe ser mas abarcativo ya que el tramite mío de compensación de inmobiliario no existe tuve que entrar por varios.-;;;;;;;;;;;;;;;;;;;;;;;
262;3;SISTEMAS;RECLAMO;la boleta nunca llega a domicilio, deberían dejar que todos la descarguen por internet, porque sino gastan demasiado papel imprimiendo las boletas que vaya a saber por qué nunca llegan a destino y no se sabe dónde terminan.;;;;;;;;;;;;;;;;;;;;;;;
263;3;GESTION INTERNA;QUEJA;es muy  dilatado el tiempo en responder a consultas efectuadas;;;;;;;;;;;;;;;;;;;;;;;
264;3;GESTION INTERNA;RECLAMO;lo que deberían agilizar sería la resolución de los expedientes de mis trámites on line, porque suelen demorar algunas veces más de 30 días, cuando debería ser más expeditivo.;;;;;;;;;;;;;;;;;;;;;;;
265;3;SISTEMAS;QUEJA;"para sellar un contrato de locación comercial en oficina de bolsa de comercio la empleada informa que ella no puede generar el sellado, dos veces tratamos por sellos web y hemos tratado ahora por mis tramites, debería ser más sencillo y los empleados de rentas deberian ser colaboradores de los contribuyentes que queremos pagar nuestros impuestos.
el tiempo de cada persona vale, es una verguenza que teniendo todas las herramientas la empeada de bolsa de comercio de rentas se niegue a generar un sellado  porque se debe hacer via web, creo que este es un servicio opcional, y si uno persona no tiene el conocimiento para hacerlo para eso debe estar el empleado para suplir cualquier deficiencia y que el contribuyente pague.  agradeceria que fuese accesible tanto por pagina web como de forma presencial.";;;;;;;;;;;;;;;;;;;;;;;
266;3;SISTEMAS;QUEJA;no deja ver los saldos a favor y tiene los datos desactualizados;;;;;;;;;;;;;;;;;;;;;;;
267;3;SISTEMAS;SUGERENCIA;mejorar canales de pago online;;;;;;;;;;;;;;;;;;;;;;;
268;3;SISTEMAS;SUGERENCIA;poder ver inmuebles y autos de familiares;;;;;;;;;;;;;;;;;;;;;;;
269;3;SISTEMAS;QUEJA;se tuvo que usar el trámite electrónico porque la pagina web para sellado no  lo permitía;;;;;;;;;;;;;;;;;;;;;;;
270;3;SISTEMAS;QUEJA;avisen antes de embargar cajas de ahorro. sobre todo siendo un pequeño contribuyente. para colmo es una cuenta sueldo. dejen de ser malas personas;;;;;;;;;;;;;;;;;;;;;;;
271;3;CATASTRO;QUEJA;que los cambios de titularidad de los inmuebles realmente se realicen. he tenido que hacer muchos reclamos por ese motivo.;;;;;;;;;;;;;;;;;;;;;;;
272;3;GESTION INTERNA;QUEJA;muy lentos , como siempre, para resolver expedientes electronicos , sobre todo en las nuevas altas , cuando observan las tareas para ser resueltas por el publico, no las vuelven a ver para terminar un tramite.  demasiado lentos ;;;;;;;;;;;;;;;;;;;;;;;
273;3;GESTION INTERNA;RECLAMO;hice un trámite en agosto y lo resolvieron en setiembre(bien), pero nunca aplicaron la modificación solicitada y resuelta;;;;;;;;;;;;;;;;;;;;;;;
274;3;ATENCION CONTRIBUYENTE;QUEJA;muy muy muy lenta la atención telefónica. las personas que atienden el tel son muy amables pero es insuficiente . y ademas ya deberían volver a la cede central en calle peltier;;;;;;;;;;;;;;;;;;;;;;;
275;3;SISTEMAS;QUEJA;pude realizar mi consulta muy defectuosamente no sabia donde entrar y luego cuando logro encontrar el lugar no me deja ingresar mis reclamos. soy jubilado y pedi ayuda y tambien le costo ala persona que me ayudo .y mi reclamo hace varios meses que lo hice y no tengo respuesta. por eso vuelvo a insistir espero pronta respuesta ;;;;;;;;;;;;;;;;;;;;;;;
276;3;GESTION INTERNA;RECLAMO;lo único les pido la mayor celeridad posible en la solución de los expedientes. gracias.;;;;;;;;;;;;;;;;;;;;;;;
277;3;GESTION INTERNA;RECLAMO;es necesaria mayor celeridad en las respuestas a los trámites. no pueden demorarse casi un mes en resolver un trámite.;;;;;;;;;;;;;;;;;;;;;;;
278;3;GESTION INTERNA;QUEJA;respuesta mas rapida de los tramites y consultas. la atencion por 148 no funciona,  nunca atienden.;;;;;;;;;;;;;;;;;;;;;;;
279;3;SISTEMAS;SUGERENCIA; tiene que ser mas claro el instructivo, ya que van hacer que la gente  concurra a la oficina;;;;;;;;;;;;;;;;;;;;;;;
280;3;SISTEMAS;QUEJA;es muy engorroso el sistema para generar el sellado de las oc, ni hablar si se vence la boleta o se quiere rectificar algun dato.;;;;;;;;;;;;;;;;;;;;;;;
281;3;SISTEMAS;SUGERENCIA;poder pagar con mercado pago, códigos qr o pago manual;;;;;;;;;;;;;;;;;;;;;;;
282;3;SISTEMAS;FELICITACIONES;este sitema ha agilizado mucho los tramites en este organismo;;;;;;;;;;;;;;;;;;;;;;;
283;3;SISTEMAS;SUGERENCIA;deberian cambiar la plataforma sobre la que corre la pagina porque tarda mucho en actualizar cada click que se hace. por cada click hay que esperar varios segundos y no es practico;;;;;;;;;;;;;;;;;;;;;;;
284;3;SISTEMAS;SUGERENCIA;es muy bueno hacer trámites desde casa, pero no he logrado pedir mi compensación.  quizás debiera ser más accesible (más fácil para los mayores). gracias.;;;;;;;;;;;;;;;;;;;;;;;
285;3;SISTEMAS;SUGERENCIA;ver la forma de simplificar los tramites para las personas mayores nos cuesta un poco realizar los mismas gracias.;;;;;;;;;;;;;;;;;;;;;;;
286;3;SISTEMAS;RECLAMO;simplificar más el tema de los trámites on line, dar de baja los automóviles y los inmuebles que uno vende, así como tan rápido como dan de alta lo que uno compra...;;;;;;;;;;;;;;;;;;;;;;;
287;3;GESTION INTERNA;QUEJA;marqué poco satisfactoria, porque en el 2020 mi marido realizó el reclamo online y solo se realizó el arreglo de la mitad de las cosas. ahora he vuelto a generar el reclamo yo. ;;;;;;;;;;;;;;;;;;;;;;;
288;3;SISTEMAS;SUGERENCIA;agilizar los trámites online, mejorar el funcionamiento de la página web, ser menos burocráticos en casos obvios;;;;;;;;;;;;;;;;;;;;;;;
289;3;SISTEMAS;QUEJA;son tramites engorrosos para realizar un sellado y no se hizo de la misma forma que hace 3 meses atras.-;;;;;;;;;;;;;;;;;;;;;;;
290;3;SISTEMAS;SUGERENCIA;sería útil poder generar planes de pago para pagar en la bolsa de comercio.;;;;;;;;;;;;;;;;;;;;;;;
