,P7,ingles
192,deben tener canales de numeros de telefono para comunicarse con algun asesor de atm a traves de whatap,They must have telephone numbers channels to communicate with a ATM advisor through whatp
193,nececitaria una respuesta mas agil de la resolucion de tramites,Nececitar a more agile response from the resolution of procedures
194,"pesima pagina  hecha por incompetentes  e inutiles estoy muy insatisfecho nada funciona como deberia un desastre  pefiero ir a la bolsa de comercio 
dinero mal gastado en pagina inutil ","Pesima page made by incompetent and useless I am very dissatisfied nothing works as a pephater disaster should go to the stock exchange
Money badly spent on useless page"
195,no se entiende muy bien como realizar el tramite de sellados web,It is not understood very well how to make the web sealant procedure
196,me gustaria poder sacar de otras personas por ser gestora del automotor,I would like to be able to take out from other people for being a manager of the automotive
197,tengo un problema que no puedo resolverlo virtualmente ,I have a problem that I can not solve it virtually
198,mejorar la busqueda de normativa,Improve the search for regulations
199,la verdad que no es satisfactorio el sistema por que hace una semana que pedi un par de planos para terminar un tramite y no me prestaron atencion sigo esperando que me resuelvan el tramite ,The truth is that the system is not satisfactory because a week ago I ordered a couple of plans to finish a process and did not pay attention to me I'm still waiting for me to resolve the procedure
200,inicie un tramite el 9/2/21 para baja del impuesto automotor por transferencia y no he tenido novedades al respecto la responsable es patricia giron  de atm,Start a process on 9/2/21 for low transfer tax on the transfer and I have not had news about the responsible one is Patricia Giron de ATM
201,inicie un reclamo por la primera cuota de patente 2020 que figura impaga la cual fue abonada en tiempo y forma no se si esta bien donde realice el reclamo por que en atm zona este no fueron muy claros con respecto a la manera en que debo realizar mi reclamo que segun ellos es solo on line espero respuesta favorable gracias ,Start a claim for the first patent fee 2020 that figure unpaid which was paid in time and form I do not know if it is well where you make the claim because in ATM area this were not very clear about the way I should do my claim that according to them is only on line I hope favorable answer thanks
202,deben mejorar  el sistema sellos web,Must improve the web seals system
203,aplicacion poco intituitiva deberia poder resolverse impuesto de sellos de pagares liquidaciones de subasta etc en forma autmoatica por sistema y no por medio de expediente ya que demora mucho tiempo en liquidarse y a veces deben ser presentados en tribunales en forma urgente-,Actual application should be able to be able to be able to be able to be resolved tax aspens stamping taxes etc in automaticically by system and not by means of file as it takes a long time to liquidate and sometimes they should be presented in court urgently-
204,tuve que ir a ventanilla unica para que me explicaran como realizar un boleto de pago por un impuestos a los sellos el video tutorial no era aplicable a mi casodeben ser mas claros con los videos tutoriales yo me considero una persona que esta al tanto de los medios electronicos pero muchas personas no tienen acceso o conocimientos de paginas web y no podrian concretar estos tramites deberian considerar a ese sector de la poblacion en definitiva todos en algun momento debemos pasar por las oficinas para que una persona real nos explique y el tiempo que demoro en explicarme me hubiera echo el tramite tal vez lo ideal es que una persona realice el tramite por ventanilla unica y que le explique a la persona a realizarlo ella misma para otra oportunidad,"I had to go to Ventanilla Unica to explain to me how to make a payment ticket for taxes on seals The video tutorial was not applicable to my casodeben being clearer with tutorial videos I consider myself a person who is aware of the media electronic but many people do not have access or knowledge of web pages and could not specify these procedures should consider that sector of the population in short, all at some time should be passed through the offices so that a real person explains and the time he delayed in Explaining I would have made the process maybe the ideal thing is that a person performs the unique window and explain to the person to do it herself for another opportunity"
205,atiendan el telefono,Take the phone
206,responder de forma mas eficiente y rapido los tramites en linea,Respond more efficiently and fast the online procedures
207,trataria de que se contestaran todos los tramites a distancia porque por ejemplo estoy esperando que me respondan una consulta desde hace mas de un mes y se me cayo el plan de pagos que quiero regularizar,would try to answer all remote processing because for example I am waiting for me to answer a consultation for more than a month and I fell the Payment Plan that I want to regularize
208,hay q ver cm poder cambiar la contraseña de otra manera ya q parece q tuve un error al ingresar el correo mio y no me llega para poner la clave y quiero volver a registrarme pero no m deja x lo q ya puse el cuil,you have to see cm can change the password otherwise since it seems that I had an error when you enter my mail and do not get it to put the key and I want to register but I do not leave what I already put the cuil
209,necesitamos respuesta a inconvenientes y no encontramos canales,we need response to inconveniences and we can not find channels
210,se deberia agregar/generar una linea telefonica de consulta para evacuar dudas cuando uno llena los formularios electronicos,A consultation telephone line should be added to evacuate doubts when one fills the electronic forms
211,respuestas demasiado programadas a veces no atienden al problema real,too scheduled answers sometimes do not attend to the real problem
212,todo bien,everything's fine
213,me preguntan por la creacion de usuario y tengo hace años la sugerencia es que se pueda hacer todo el tramite de tasa de justicia en un solo lugar,They ask me about the user creation and I have years ago the suggestion is that you can do all the justice rate procedure in one place
214,ninguna la oficina virtual es totalmente optima para todo tipo de tramite,None the virtual office is totally optimal for all types of procedure
215,las demoras de mas de dos dias para generar un boleto de un codigo me parece demasiado tiempo podria hasta ser automatico ,the delays of more than two days to generate a ticket of a code seems too long ago to be automatic
216,menos demora en los sellados ,Less delay in sealants
217,deberian atender personalmente a los viejitos nos resulta dificil hacer tramites por internet,they should personally attend the old people it is difficult to make procedures online
218,la encuesta deberia ser una vez obtenido el tramite  no antes xq no sabemos si se resolvio y de que forma,the survey should be once obtained the process not before xq we do not know if it was resolved and what
219,el sistema nsit o elsayges tienen un tiempo y el sistema te saca dejandonos colgados y con la necesidad de volver a ingresar toda la documentacion deberia dejar estos sistemas sin corte de tiempo y la pagina cuentas claras con el tiempo que consideren conveniente,The NSIT or ELSAYGES system have a time and the system takes advantage of you hanging up and with the need to re-enter all the documentation should leave these systems without time cutting and the page clear accounts with the time you consider appropriate
220,"al querer realizar una consulta no hay opciones chat mail etc
y estimo que debo generar un expdte electronico pero la forma en la que lo presentan genera temor como en que me estoy metiendo si hago esto
 ademas quedan dudas si fue realizado con exito o no
 ","When wanting a query there are no choices chat mail etc
and I think I should generate an electronic exp be but the way they present it generates fear like I'm getting into this if I do this
 besides there are doubts if it was done with success or not
 "
221,posibilidad de hablar con alguien telefonicamente no atiende nadie el 148,possibility of talking to someone phone does not attends anyone the 148
222,explicaciones de los tramites paso a paso mas explicados por ejemplo hice domicilio fiscal y no tengo idea que significa,explanations of the most explained step-by-step processing for example I made fiscal domicile and I have no idea what it means
223,muy bien todo ,Very good everything
224,es muy complidado los tramites que no son comunes como patente inmobiliariose tarda mucho exigen demasiado no hay rapidez es complejo llegar al instructivo no informan bien en el edificio cuando se saca turno los turno no llegan al correo gmail,"It is very pleased the procedures that are not common as a real estate patent takes a long time, there is no speed. There is a complex to get to the instruction do not report well in the building when it takes turns. The shift does not come to the mail Gmail."
225,me parece innecesario tener que ir personalmente a la oficina de san martin  despues de la presentacion via web deberia quedar solucionado por este medio,I find it unnecessary to have to go personally to the San Martin office after the presentation via web should be solved by this means
226,tuve que hacer por tercera vez el tramite porque las veces anteriores la carga fue muy lenta,I had to do for the third time the process because the previous times the load was very slow
227,buen dia no me resulta agil la gestion de tramite por baja por robo y libre deuda de mi moto dominio a098osj xq envie la documentacion que solicitan pero dice observado y no es clara la respuesta xq no interpreto el mensaje xq no me dice que debo hacer,good day I am not agile the management of processed by robbery and free debt of my motorcycle domain A098osj xq send the documentation they request but says observed and not clear the answer xq I do not interpret the message xq does not tell me what should I do
228,los tramites para las empresas de caba no tienen la opcion para poner esa zona y uno tiene que poner otra zona por descarte seria bueno que agreguen zona que no sea mendoza,The processing for CABA companies do not have the option to put that area and one has to put another area by discarding would be good to add area that is not mendoza
229,en lo particular trabajo mucho con nsit el peor sistema de informacion que vi en mi vida no funciona,In particular I work a lot with NSIT the worst information system I saw in my life does not work
230,deberia ser mas facil la recuperacion de contraseñas la gestion de sellados de contratos para personas de todas las edades,The recovery of passwords should be easier for the management of sealants of contracts for people of all ages
231,el tramite ee 535732020 lo iniciamos el 14/12/20 y todavia no tenemos respuesta espero que no lo archiven como hacen siempre con todos los tramites iniciados ,The Tramita EE 535732020 We started on 12/14/20 and we still have no answer I hope you do not file it as always with all the initiated procedures
232,"- mejorar y adicionar formas de pago online tipo vep cbu y que funcionen
- resolver los problemas de sistemas en cuanto a la integracion con los pagos de afip
- incorporar la opcion de reclamos","- Improve and add online payment forms type Vep CBU and that work
- Solve systems problems regarding integration with AFIP payments
- Incorporate the claim option"
233,cuando observan un expediente electronico no da posibilidad de poder agregar lo observado teniendo asi que iniciar un nuevo ee ,"When they observe an electronic file, it does not give possibility of being able to add what observed having so start a new EE"
234,excelente,Excellent
235,encuentro que el sistema es agil pueda ser que sea resolutivo tambien gracias,I find that the system is agil might be a resolutive too thanks
236,en san rafael no otorgan turnos que agilicen la entrega de utrnos,In San Rafael they do not grant shifts that streamline the delivery of UTRNOS
237,quiero sellar una orden de publicidad y la rebotan 3 veces lo vengo haciendo siempre pero ahora no funciona como antes y no veo la forma de solucionarlo,I want to seal an advertising order and bounce it 3 times I have always done it but now it does not work as before and I do not see how to solve it
238,los expedientes los pasan a archivo sin ser resueltos y sin notificar falencias en la documentacion para dar de alta a una sociedad en ingresos brutos  tuve que enviar 3 veces la documentacion y aun no me lo resuelven mas de 3 meses haciendo el tramite una verguenza,The records are passed to file without being resolved and without notifying FALCERS in the documentation to register a gross income society I had to send 3 times the documentation and still do not solve it for more than 3 months making the procedure a shame
239,deberian subirse mas instructivos donde resolver las observaciones que se generaren a los ee para lograr asi una mayor eficacia y eficiencia,They should get more instructive where to resolve the observations that will be generated to the EE to achieve greater efficiency and efficiency
240,"me gusta la pagina porque no es necesario que valla a las oficinas de atm
","I like the page because it is not necessary to go to the ATM offices
"
241,en sellado de contratos se sugiere que este la opcion de usufructuarios que actualmente no esta,In sealing of contracts it is suggested that this option of usufructuaries that currently is not
242,ingrese mi tramite sin inconvenientes,Enter my process without inconvenience
243,para el credito por automotor 2021 su pagina no funciona ya que no me muestra mi vehiculo por tanto a la hora de intentar guardar la solicitud de credito a mi favor no me deja hacerlo error grave de la pagina,"For the credit for automotive 2021 your page does not work since it does not show me my vehicle therefore when trying to save the credit request in my favor, it does not let me do a serious error of the page"
244,la plataforma mis tramites es dificil de acceder estan escondidos los tramites se dificulta trabajar con facilidad sobre todo al comienzo yo cambiaria para mas facilidad las opciones y la visibilidad de las mismas-,"The MY Tramites platform is difficult to access are hidden the procedures is difficult to work easily, at the beginning I would change for more easily the options and visibility of the same-"
245,la resolucion de los tramites  deberia ser mas  rapido-,The resolution of the procedures should be faster
246,permitir que lo martilleros tengan prioridada,allow it hammering to have priority
247,el tramite iniciado esta en proceso por eso he evaluado como no satisfactorio el tramite que realizo dentro de mis tramites fue resuelto de forma,The starting process is in the process that is why I have evaluated as not satisfactory the process that I made within my procedures was resolved in a way
248,el 148 o el 0800 no funciona correctamente ampliaria la posibilidad de realiizar a tramites a contribuyentes,"148 or 0800 does not work properly, it would expand the possibility to realize TRAMITES to taxpayers"
249,lo peor que han creado en atm es el expediente electronico nadie resuelve los tramites y pueden pasar 3 meses sin solucion es una verguenza que le paguen a la gente y no trabaje ñoquis,The worst thing they have created in ATM is no one's electronic file solves the procedures and can spend 3 months without a solution is a shame that pays people and do not work ñquis
250,quisiera consultar como debo inscribirme para pagar atm ya que ahora sere monotributista,I would like to consult how I must register to pay atm since now it will be monotributist
251,necesitamos que las respuestas a laos tramites sean claras y rapidas como cuando ibamos personalmente gracias,We need the answers to Laos Tramites to be clear and fast as when we were personally thanks
252,deben atender y responder los correos de consulta del contribuyente hace mas de veinte dias que hice una consulta y nadael recurso humano es un deprimente,they must attend and answer the taxpayer's consultation emails more than twenty days I made a consultation and nothing Human Resource is a depressing
253,confuso cuando se quiere preguntar algo no actualizados los pagos,confused when you want to ask something not updated payments
254,capacitar al personal en materia educativa etica y tacto con la gente,Train personnel in educational ethics and touch with people
255,que mejoren la interaccion dentro de tramites on line sugiero esto porque el dia 27/02 solicite alta en ingresos brutos se me pidio adjuntar documentacionlo cual hice pero a hoy previo envio de chat nunca respondidos por operador celestino herrera no tengo respuesta por lo que nuevamente solicite el tramite de alta espero sea resuelto a la brevedad posible asi puedo facturar y el 148 no da respuesta al tema  ,"that improve the interaction within on-line processing I suggest this because the day 27/02 request high in gross income I was asked to attach documentation, which I did but today prior shipping of chat never answered by operator Celestino Herrera I have no answer for what again requests The High Procedure I hope is solved as soon as possible, I can invoice and the 148 does not respond to the subject"
256,"en cuanto a la resolucion del reclamo respondi muy satifactorio porque no me dejaba terminar la encuesta pero recien inicicio el tramite por lo que no se como sera la resulucion del mismo en tiempo y forma
pero consideo muy ejecutiva la pagina y muy comoda ","As for the resolution of the claim, I responded very satifactory because I did not let me finish the survey but just attack the process so I do not know how it will be the result of it in time and form
but I consider very executive the page and very comfortable"
257,si bien ya se como realizar el inicio de un expediente por ahi me resulta un poquito confuso dar con tramites remoto tal vez es mas directo iniciar expediente o similar o resaltado de otra manera ,While I already know how to start the start of a file there I find a little confusing to give with remote procedures maybe it's more direct to start file or similar or highlighted in another way
258,necesito actualizar mi correo electronico cambiarlo y me resulto imposible el viejo patodel62@hotmailcom  el actual  patonasif@yahoocomar  si lo pueden hacer ustedes agradecida sino por favor contactarse conmigo al nuevo correo por favor o al celular 2613678939 gracias ,I need to update my email change it and it turned out impossible for the old patodel62 @ hotmailcom the current patonasif @ yahoochar if you can do it grateful but please contact me the new mail please or cell phone 2613678939 thanks
259,actualizar al dia de pago el impuesto atrasado y asi evitar ir personalmente a bolsa de comercio a buscar papel para hacer pago por ventanilla enviar cupon de pago online de cuotas vencidas informar vencimiento de impuestos por mail- como recordatorio -,Update a day of payment The late tax and thus avoid going personally to the stock exchange to look for paper to make payment per window sending online payment coupon of due turns to inform taxes by mail - as a reminder -
260,respondan mas rapido,They respond faster
261,el tramite que inicie todavia no ha sido resuelto por lo que no puedo decir si estoy satisfecho o no,The process that starts has not yet been resolved so I can not say if I am satisfied or not
262,algunos tramites no estan claros y hay una respuesta nada satisfactoria porque la encuesta se realiza antes de la resolucion del tramite y como sugerencia poner un poco mas de atencion con el n° 148 ya que es imposible comunicarse con el mismo,some procedures are not clear and there is a response nothing satisfactory because the survey is done before the resolution of the process and as a suggestion to put a little more attention with the n ° 148 since it is impossible to communicate with the same
263,seria bueno que los tramites fuesen resueltos con mas celeridad ya que hemos presentado otro tramite por mi padre y lleva 20 dias sin ser resuelto mientras acrecentamos el saldo a favor de iibb,It would be good for the procedures to be solved with more speed since we have presented another procedure for my father and has been unresolved 20 days while we increase the balance in favor of IIBB
264,debe ser mas abarcativo ya que el tramite mio de compensacion de inmobiliario no existe tuve que entrar por varios-,"It must be more complained since the momentum of real estate compensation does not exist, I had to enter by several-"
265,la boleta nunca llega a domicilio deberian dejar que todos la descarguen por internet porque sino gastan demasiado papel imprimiendo las boletas que vaya a saber por que nunca llegan a destino y no se sabe donde terminan,The ballot never arrives at home should let everyone download it online because they spend too much paper printing the ballots that they will know why they never reach destination and do not know where they end up
266,es muy  dilatado el tiempo en responder a consultas efectuadas,The time in responding to consultations carried out is very dilated
267,lo que deberian agilizar seria la resolucion de los expedientes de mis tramites on line porque suelen demorar algunas veces mas de 30 dias cuando deberia ser mas expeditivo,what should streamline would be the resolution of the records of my on-line procedures because they usually delay more than 30 days when it should be more expeditious
268,"para sellar un contrato de locacion comercial en oficina de bolsa de comercio la empleada informa que ella no puede generar el sellado dos veces tratamos por sellos web y hemos tratado ahora por mis tramites deberia ser mas sencillo y los empleados de rentas deberian ser colaboradores de los contribuyentes que queremos pagar nuestros impuestos
el tiempo de cada persona vale es una verguenza que teniendo todas las herramientas la empeada de bolsa de comercio de rentas se niegue a generar un sellado  porque se debe hacer via web creo que este es un servicio opcional y si uno persona no tiene el conocimiento para hacerlo para eso debe estar el empleado para suplir cualquier deficiencia y que el contribuyente pague  agradeceria que fuese accesible tanto por pagina web como de forma presencial","To seal a commercial location contract at the Office of Commerce The employee informs that she can not generate the seal twice we deal with web seals and have now dealt with my procedures should be simpler and the income employees should be collaborators of the Taxpayers that we want to pay our taxes
the time of each person is worth is a shame that having all the tools the income trading bag started refuses to generate a seal because it should be done via web I think this is an optional service and if one person does not have knowledge for do it for that must be the employee to supply any deficiency and that the taxpayer pays appreciated that it was accessible both by web page and in a face-to-face"
269,no deja ver los saldos a favor y tiene los datos desactualizados,Do not let the balances see in favor and have the data outdated
270,mejorar canales de pago online,Improve online payment channels
271,poder ver inmuebles y autos de familiares,Be able to see properties and family cars
272,se tuvo que usar el tramite electronico porque la pagina web para sellado no  lo permitia,the electronic procedure had to be used because the sealing web page did not allow it
273,avisen antes de embargar cajas de ahorro sobre todo siendo un pequeño contribuyente para colmo es una cuenta sueldo dejen de ser malas personas,warn before seizing savings boxes above all being a small contributor to top it is a salary account stop being bad people
274,que los cambios de titularidad de los inmuebles realmente se realicen he tenido que hacer muchos reclamos por ese motivo,that changes in ownership of buildings actually realized I had to do many claims for that reason
275,muy lentos  como siempre para resolver expedientes electronicos  sobre todo en las nuevas altas  cuando observan las tareas para ser resueltas por el publico no las vuelven a ver para terminar un tramite  demasiado lentos ,very slow as always to resolve electronic records especially in the new highs when they observe the tasks to be resolved by the public do not see them again to finish a process too slow
276,hice un tramite en agosto y lo resolvieron en setiembrebien pero nunca aplicaron la modificacion solicitada y resuelta,"I did a procedure in August and resolved it in September, but they never applied the requested and resolved modification"
277,muy muy muy lenta la atencion telefonica las personas que atienden el tel son muy amables pero es insuficiente  y ademas ya deberian volver a la cede central en calle peltier,Very very slow attention Telefonica The people who attend tel are very friendly but it is insufficient and also should already return to CEDRO CENTRO IN PELETIER STREET
278,pude realizar mi consulta muy defectuosamente no sabia donde entrar y luego cuando logro encontrar el lugar no me deja ingresar mis reclamos soy jubilado y pedi ayuda y tambien le costo ala persona que me ayudo y mi reclamo hace varios meses que lo hice y no tengo respuesta por eso vuelvo a insistir espero pronta respuesta ,"I was able to make my query very defectively I did not know where to enter and then when I manage to find the place, it does not let me enter my claims I am retired and asked help and also cost the person who helped me and my claim several months ago that I did it and I have no answer That's why I'll insist again I hope promptly"
279,lo unico les pido la mayor celeridad posible en la solucion de los expedientes gracias,the only thing I ask for the greatest possible speed in the solutions of the files thanks
280,es necesaria mayor celeridad en las respuestas a los tramites no pueden demorarse casi un mes en resolver un tramite,Greater speed is needed in the Responses to Procedures Can not be delayed almost a month in resolving a process
281,respuesta mas rapida de los tramites y consultas la atencion por 148 no funciona  nunca atienden,Rapor response from the procedures and queries Attention by 148 does not work never attend
282, tiene que ser mas claro el instructivo ya que van hacer que la gente  concurra a la oficina, It has to be clearer the instruction as they are going to make people come to the office
283,"es muy engorroso el sistema para generar el sellado de las oc ni hablar si se vence la boleta o se quiere rectificar algun dato
","The system is very cumbersome to generate the sealing of the OC or speak if the ballot is overcome or you want to rectify some data
"
284,poder pagar con mercado pago codigos qr o pago manual,Be able to pay with market payment QR codes or manual payment
285,este sitema ha agilizado mucho los tramites en este organismo,This SITEMA has stained a lot of trams in this body
286,deberian cambiar la plataforma sobre la que corre la pagina porque tarda mucho en actualizar cada click que se hace por cada click hay que esperar varios segundos y no es practico,they should change the platform on which the page runs because it takes a long time to update each click that is done for each click you have to wait several seconds and it is not practical
287,es muy bueno hacer tramites desde casa pero no he logrado pedir mi compensacion  quizas debiera ser mas accesible mas facil para los mayores gracias,It is very good to make procedures from home but I have not managed to ask for my compensation maybe it should be more accessible easier for the greatest thanks
288,ver la forma de simplificar los tramites para las personas mayores nos cuesta un poco realizar los mismas gracias,see how to simplify the procedures for the elderly costs us a little to make the same thanks
289,simplificar mas el tema de los tramites on line dar de baja los automoviles y los inmuebles que uno vende asi como tan rapido como dan de alta lo que uno compra,Simplify more the topic of on-line procedures Under down the car and the properties that one sells as well as as fast as they discharge what one purchases
290,marque poco satisfactoria porque en el 2020 mi marido realizo el reclamo online y solo se realizo el arreglo de la mitad de las cosas ahora he vuelto a generar el reclamo yo ,Mark little satisfactory because in the 2020 my husband made the claim online and only the arrangement of half of things was realized now I have re-generated the claim me
291,agilizar los tramites online mejorar el funcionamiento de la pagina web ser menos burocraticos en casos obvios,Examine the online trams Improve the operation of the website to be less bureaucratic in obvious cases
292,son tramites engorrosos para realizar un sellado y no se hizo de la misma forma que hace 3 meses atras-,they are cumbersome procedures to make a seal and was not made in the same way as 3 months ago
293,seria util poder generar planes de pago para pagar en la bolsa de comercio,It would be useful to generate payment plans to pay on the stock exchange
294,"falta una seccion de que hacer ante problemas 
ejemplo ayer pague online tiro mensaje de error la plata si la desconto del banco pero no se imputo en el plan de pago 
el error me dice contacte con el administrador pero no hay visible un lugar de contacto para estas situaciones","missing a section that to do before problems
Example yesterday pays online shot Error message Silver if the bank's discount but I do not get imputed in the payment plan
The error tells me contact the administrator but there is no visible a place of contact for these situations"
295,esta encuesta solicita respuesta de como resulta el tramite realizado a traves del expediente electronico antes de que sea resuelto es un error,This survey requests a response as the procedure is carried out through the electronic file before it is solved is an error
296,por favor acrediten los pagos que realizan cuando se paga algo que reclaman porque lo suelen reclamar varias veces,Please prove the payments they make when paying something they claim because they usually claim several times
297,todavia no recibimos respuesta de un tramite que se efectuo a fines de diciembre 2020,We still do not receive a response from a procedure that was made at the end of December 2020
298,no me permite realizar el pago anual ni pagar boletas del año anterior,It does not allow me to make annual payment or pay tickets of the previous year
299,no es facil pagar no puedo pagar año completo ni cuotas vencidas,It is not easy to pay I can not pay full year or due installments
300,los tramites virtuales los responden con muchisima lentitud   llevo 3 meses esperando un sellado ,Virtual procedures respond with a lot of slowness I have 3 months waiting for a sealing
301,prefiero algo mas agil,I prefer something more agile
302,deberaan responder de forma mas rapida,They should respond more quickly
303,mucha demora en la respuesta de los tramites iniciados en forma on line y falta de respuesta a los mails enviados a la persona encargada de la gestion del tramite,A lot of delay in the response of the procedures initiated in online form and lack of response to the mails sent to the person in charge of the management of the process
304,han mejorado mucho sigan asi saludos cordiales,"they have improved a lot, follow as well, cordial greetings"
305,dificil encontrar la seccion de cambio de domicilio el cambio de domicilio lo necesito hacer en todas las areas automotor inmobiliario iibb etc deberia estar unificada la seccion de dicho tramite ,DIFFICULT FINDING THE DOMBANCE CHANGE SECTION The change of address I need to do it in all areas Automotive Real Estotor IIBB etc The section of said process should be unified
306,"aumentar la capacidad de generar planes
","Increase the capacity to generate plans
"
307,deberia optimizarse el tiempo que toma hacer altas/bajas/modificaciones en afip y surtan efecto en atm y asignar mas recursos para que la pagina no se caiga,should optimize the time it takes to make high / low / modifications in AFIP and take effect on ATM and assign more resources so that the page does not fall
308,tienen que agilizar los accesos liquidaciones ser claros en la informacion tengo que hacerlo para todos los conocidos porque el tramite no es sencillo,they have to speed up the liquidation accesses to be clear in the information I have to do it for all the acquaintances because the process is not simple
309,seria mas practico si en el correo electronico que envian para avisar que hay una nueva notificacion electronica enviaran mayor informacion referida a dicha notificacion,"It would be more practical if in the email they send to warn that there is a new electronic notification, they will send more information referring to that notification"
310,por favor es necesario que adecuen los sitemas es la segunda vez que encuentro que les han dado de bajas a contribuyentes q siguen presentando en tienpo y forma y pagando sus declaraciones juradas tambien podrian gestionar mas rapido los tramites on line estuve 1 semana esperando que me volvieran a dar el alta de un contribuyente cuando antess eso era ´resencial y se hacia en el momento y el telefono 148 no atienden nunca horas esperando que alguien responda,"please it is necessary that the sitemas adequate is the second time I find that they have given them low to taxpayers who continue to present in Tienpo and form and paying their sworn statements, they could also manage the online procedures I spent 1 week waiting for me to turn me back to give the discharge of a taxpayer when before that was ""commitment and stops at the time and the phone 148 never attend hours waiting for someone to respond"
311,los sistemas deben permitir imprimir los boletos patrimoniales aunque esten pagados que es donde esta la liquidacion de los mismos y se certifica si  lo pagado es realmente lo liquidado,Systems must allow printing the patrimonial tickets even if they are paid that is where the liquidation of them is and certified if the paid is really liquidated
312,para los programadores web diseñar un espacio unico de sellados de contratos de locacion ya que es totalmente confuso llegar hasta ahi de los sellados en gral,For Web programmers design a unique location contracts sealed space since it is totally confusing to reach there of the sealing in Gral
313,para hacer algunos tramites es necesario un instructivo impresoque dan en la oficina podrian colocar una pestaña con los tramites y que de ahi se descarguen dichos instructivos,"To make some procedures, an instruction is necessary Dan in the office could place a tab with the procedures and that such instructions are discharged from there"
314,no puedo entender nada de lo que me envian como notificaciones quiero pagar y no pùedo ,I can not understand anything of what they send me as notifications I want to pay and not see
315,es muy complicado el sellado de los contratos de locacion poco practico,It is very complicated the sealing of little practical location contracts
316,hay en mi caso algunas dudas  pero es por la falta de capacidad en tramites online,There are some doubts in my case but it is because of the lack of capacity in Tramites Online
317,es muy dificil comunicarse via telefonica deberian poner mas gente,it is very difficult to communicate via telefonica they should put more people
318,el servicio que mas me agrada es poder pagar mis impuestos con la tarjeta de credito,The service that I like the most is to be able to pay my taxes with the credit card
319,"el servicio de consultas ya sea telefonico o web esta bastante poco informado y ultimamente no estan ni asesorando correctamente ni resolviendo problemas
gracias","The consultation service either telephone or web is quite informed and lately they are not even advising correctly or solving problems
Thank you"
320,mas tramites on line como compensaciones entre impuestos,More Online Processes As Tax Compensations
321,soy contribuyente de convenio multilateral de otra jurisdiccion y la verdad es que me resulto sencillo iniciar el tramite por este medio estoy esperando resolucion,I am a contributor to a multilateral agreement of another jurisdiction and the truth is that I am easy to start the procedure by this means I am waiting for resolution
322,el tramite del punto 4 aun no ha sido resuelto,The section of point 4 has not yet been resolved
323,deberia ser mas facil obtener los libre deuda y poder obtener boletos ya pagados,It should be easier to obtain free debt and can get tickets already paid
324,exelente,Excellent
325,el alta de una nueva cuenta deberia ser mas sencillo y evitar las llamadas al centro de atencion telefonica,The discharge of a new account should be simpler and avoid calls to the telephone care center
326,formas mas claras para< proceder pues no son del entendimiento de todos ,more clear ways to <proceed as they are not the understanding of all
327,deberian contestas mas rapidos los pedidos de sellados ,you should answer more fast the sample orders
328,la pagina no funciona de manera optima en especial el aplicativo sellos,The page does not work optimally in particular the application stamps
329,la pagina tiene varios fallos y muchas veces se encuentra caida,the page has several faults and many times it is fallen
330,ya que no atienden en el 148 opcion 1 respondan los chat,since they do not attend in the 148 option 1 the chat respond
331,"por suerte se puede realizar varios tramites por la web porque la atencion telefonica deja mucho que desear
si bien la pagina esta muy bien no dejen de actualizarla y seguir mejorando aun mas","Luckily you can make several processing for the web because telephone care leaves a lot to be desired
While the page is very well, do not stop updating it and continue improving even more"
332,despues de dos meses de gestion de tramite electronico aun no demuestra movimientos poca informacion del personal telefonico y no existencia de estpacio virtual para reclamos,"After two months of electronic processing management, it does not yet demonstrate movements, little information about telephone personnel and not existence of virtual station for claims"
333,se me ha complicado dar de baja un mail antiguo y me sigue apareciendo cuando intento adherirme al envio via mail me parece que deben corregir algo en el sistema para hacer esto mas amigable creo que si uno actualiza el mail eso deberìa ser suficiente para que la adhesion anterior tambien cambie a dicho mail si es posible me gustaria que alguien me llame para explicarme como se puede corregir esto,I have been complicated to lower an old mail and it still appears when I try to adhere to the shipment via mail I think they should correct something in the system to do this more friendly I think if one updates the mail that should be enough for the adhesion Previous also change to that mail if it is possible I would like someone to call me to explain how you can correct this
334,este medio es mas satisfactorio para sellar contratos que mis aplicativos ya que siempre del otro lado hay una persona que asiste en caso que falte algo  desde ya gracias por su gestion,This means is more satisfactory to seal contracts that my applications since always on the other side there is a person who attends in case something is missing from now thanks for its management
335,se deberian poder hacer consultas ya que los telefonos no funcionan,Consultations should be able to do since the phones do not work
336,los expedientes realizados tiene mucha demorade resolucion,The records made have a lot of resolution
337,el servicio es excelente y practico la gweneracion del boleto podria ser en menor tiempo por lo demas genial poder hacer los tramites on-line gracias,the service is excellent and practical the gweneration of the ticket could be at shorter time for the rest genial being able to make the on-line pages thanks
338,mejoren plataforma sellos web es imposible sellar actualmente y la linea 148 no tiene una opcion para hablar con un representante y resolver dudas,Between web seals platform it is impossible to seal today and line 148 does not have an option to talk with a representative and solve doubts
339,hace dos dias que no puedo ingresar a la pagina sellos web tengo que resolver sellado por mis tramites online necesito que le den una solucion a ello,Two days ago that I can not enter the web stamp page I have to solve sealed by my online traps I need you to give it a solution to it
