Marca temporal;1. Utiliza habitualmente la página web de ATM;2. Le resultó simple la creación de su cuenta en Mis Trámites;3. Le resulta comprensible la sección de Mis Trámites;4. El trámite que realizó dentro de Mis Trámites fue resuelto de forma:;5. La información brindada por la página web de ATM es:;6. El boleto para pagar el año 2021 lo obtiene por:;Agregue aquí su sugerencia
3/3/2021 19:39:05;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;MUY BIEN TODO !!!!!
3/3/2021 20:34:13;SI;SI;NO;Poco satisfactoria;Regular;Descarga de la página web de ATM;Es muy complidado los tramites que no son comunes como patente, inmobiliario.Se tarda mucho exigen demasiado no hay rapidez, es complejo llegar al instructivo. No informan bien en el edificio cuando se saca turno. los turno no llegan al correo gmail
3/3/2021 21:20:43;NO;SI;SI;Poco satisfactoria;Buena;Descarga de la página web de ATM;Me parece innecesario tener que ir PERSONALMENTE a la Oficina de San Martin , despues de la presentacion Via Web. Deberia quedar solucionado por este medio
3/3/2021 21:36:40;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/4/2021 1:01:14;SI;SI;SI;Satisfactoria;Buena;Recepción por correo electrónico;
3/4/2021 7:13:54;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;tuve que hacer por tercera vez el tramite, porque las veces anteriores la carga fue muy lenta
3/4/2021 8:13:17;SI;SI;NO;Nada satisfactoria;Regular;Entrega en su domicilio real;Buen día no me resulta agil la gestión de tramite por baja por robo y libre deuda de mi moto dominio A098OSJ xq envie la documentación que solicitan, pero dice observado y no es clara la respuesta xq no interpreto el mensaje xq no me dice que debo hacer
3/4/2021 8:21:25;NO;SI;SI;Satisfactoria;Muy Buena;No aplica;
3/4/2021 8:33:35;SI;SI;SI;Muy satisfactoria;Buena;Descarga de la página web de ATM;los tramites para las empresas de CABA no tienen la opcion para poner esa zona y uno tiene que poner otra zona por descarte, seria bueno que agreguen zona que no sea mendoza
3/4/2021 8:38:02;SI;NO;SI;Poco satisfactoria;Regular;Recepción por correo electrónico;EN LO PARTICULAR TRABAJO MUCHO CON NSIT, EL PEOR SISTEMA DE INFORMACION QUE VI EN MI VIDA, NO FUNCIONA.
3/4/2021 9:10:50;SI;SI;SI;Muy satisfactoria;Buena;Descarga de la página web de ATM;
3/4/2021 9:26:16;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/4/2021 9:32:15;SI;SI;SI;Muy satisfactoria;Muy Buena;Recepción por correo electrónico;
3/4/2021 9:35:15;NO;SI;SI;Satisfactoria;Buena;Entrega en su domicilio real;
3/4/2021 9:36:48;NO;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/4/2021 10:04:34;SI;SI;NO;Satisfactoria;Regular;Descarga de la página web de ATM;
3/4/2021 10:15:15;NO;SI;SI;Satisfactoria;Buena;Entrega en su domicilio real;
3/4/2021 10:26:06;SI;SI;NO;Satisfactoria;Regular;Descarga de la página web de ATM;
3/4/2021 10:45:45;NO;NO;NO;Poco satisfactoria;Regular;Descarga de la página web de ATM;Debería ser mas facil la recuperacion de contraseñas, la gestion de sellados de contratos, para personas de todas las edades
3/4/2021 11:12:51;SI;SI;SI;Muy satisfactoria;Regular;no se;
3/4/2021 11:32:20;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/4/2021 11:36:40;NO;SI;NO;Poco satisfactoria;Buena;Descarga de la página web de ATM;
3/4/2021 11:45:46;SI;SI;NO;Poco satisfactoria;Regular;Descarga de la página web de ATM;
3/4/2021 12:01:23;NO;NO;SI;Nada satisfactoria;Regular;Descarga de la página web de ATM;
3/4/2021 12:30:17;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/4/2021 13:06:33;SI;SI;SI;Nada satisfactoria;Buena;Descarga de la página web de ATM;el tramite EE 535732020 lo iniciamos el 14/12/20 y todavía no tenemos respuesta espero que no lo archiven como hacen siempre con todos los trámites iniciados 
3/4/2021 13:07:07;SI;NO;NO;Nada satisfactoria;Mala;no esta disponible;"- Mejorar y adicionar formas de pago online, tipo VEP, cbu, y que FUNCIONEN!!
- Resolver los problemas de sistemas en cuanto a la ""integración"" con los pagos de AFIP
- Incorporar la opción de reclamos"
3/4/2021 14:33:39;SI;SI;SI;Poco satisfactoria;Regular;Entrega en su domicilio real;cuando observan un expediente electronico, no da posibilidad de poder agregar lo observado, teniendo asi que iniciar un nuevo EE 
3/4/2021 15:40:09;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/4/2021 16:25:34;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/4/2021 17:06:13;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/4/2021 17:24:45;NO;NO;NO;Nada satisfactoria;Buena;Descarga de la página web de ATM;
3/4/2021 17:39:19;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/4/2021 17:44:27;SI;SI;NO;Poco satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/4/2021 17:47:01;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/4/2021 18:22:15;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/4/2021 19:42:20;NO;NO;NO;Satisfactoria;Regular;Entrega en su domicilio real;
3/4/2021 20:01:27;SI;SI;SI;Muy satisfactoria;Buena;Descarga de la página web de ATM;
3/4/2021 20:33:54;NO;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/4/2021 21:50:20;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;EXCELENTE
3/4/2021 21:59:02;NO;SI;NO;Nada satisfactoria;Regular;Descarga de la página web de ATM;
3/5/2021 2:13:00;SI;SI;SI;Satisfactoria;Buena;Recepción por correo electrónico;
3/5/2021 2:16:42;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/5/2021 9:28:55;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/5/2021 9:42:26;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/5/2021 9:55:01;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/5/2021 10:48:37;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/5/2021 11:01:02;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;encuentro que el sistema es agil. Pueda ser que sea resolutivo también. Gracias
3/5/2021 12:03:57;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/5/2021 12:07:00;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;en San Rafael no otorgan turnos. Que agilicen la entrega de utrnos
3/5/2021 12:10:39;SI;NO;NO;Nada satisfactoria;Regular;Descarga de la página web de ATM;Quiero sellar una orden de publicidad y la rebotan 3 veces lo vengo haciendo siempre pero ahora no funciona como antes y no veo la forma de solucionarlo
3/5/2021 12:13:18;NO;SI;NO;Satisfactoria;Buena;Descarga de la página web de ATM;
3/5/2021 12:37:13;SI;SI;SI;Nada satisfactoria;Regular;Descarga de la página web de ATM;los expedientes los pasan a ARCHIVO sin ser resueltos. Y sin notificar falencias en la documentación. Para dar de alta a una sociedad en ingresos brutos , tuve que enviar 3 veces la documentación y aun no me lo resuelven. Mas de 3 meses haciendo el trámite. Una verguenza.
3/5/2021 12:37:39;SI;SI;SI;Satisfactoria;Buena;Entrega en su domicilio real;
3/5/2021 13:16:51;NO;SI;SI;Poco satisfactoria;Buena;Descarga de la página web de ATM;
3/5/2021 13:29:41;SI;SI;SI;Satisfactoria;;Descarga de la página web de ATM;
3/5/2021 14:19:54;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/5/2021 16:27:45;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/5/2021 17:07:46;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/5/2021 18:01:26;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/5/2021 18:06:47;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/5/2021 18:20:52;SI;SI;NO;Satisfactoria;Regular;Descarga de la página web de ATM;Deberían subirse más instructivos donde resolver las observaciones que se generaren a los E.E. para lograr así una mayor eficacia y eficiencia
3/6/2021 9:11:45;NO;SI;SI;Satisfactoria;Buena;Recepción por correo electrónico;
3/6/2021 10:16:03;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;"Me gusta la página porque no es necesario que valla a las oficinas de atm
"
3/6/2021 14:41:38;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;en sellado de contratos, se sugiere que esté la opción de usufructuarios, que actualmente no está.
3/6/2021 15:43:52;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;Ingresé mi trámite sin inconvenientes.
3/6/2021 20:57:03;SI;SI;SI;Poco satisfactoria;Muy Buena;Descarga de la página web de ATM;Para el crédito por automotor 2021, su página no funciona, ya que no me muestra mi vehículo, por tanto a la hora de intentar Guardar la solicitud de crédito a mi favor, no me deja hacerlo. Error grave de la página.
3/7/2021 11:16:07;SI;SI;SI;Poco satisfactoria;Regular;Descarga de la página web de ATM;
3/7/2021 12:08:16;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/7/2021 19:40:49;SI;SI;NO;Poco satisfactoria;Buena;Recepción por correo electrónico;LA PLATAFORMA MIS TRAMITES, ES DIFÍCIL DE ACCEDER, ESTAN ESCONDIDOS LOS TRAMITES. SE DIFICULTA TRABAJAR CON FACILIDAD, SOBRE TODO AL COMIENZO. YO CAMBIARÍA PARA MAS FACILIDAD LAS OPCIONES Y LA VISIBILIDAD DE LAS MISMAS.-
3/7/2021 23:52:40;SI;SI;SI;Satisfactoria;Buena;Recepción por correo electrónico;
3/8/2021 0:36:25;NO;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/8/2021 6:27:39;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;la resolución de los trámites  debería ser más  rápido.-
3/8/2021 9:30:42;NO;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/8/2021 9:51:03;NO;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/8/2021 9:52:50;SI;SI;SI;Poco satisfactoria;Regular;jhkhk;Permitir que lo Martilleros tengan Prioridada
3/8/2021 9:58:06;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/8/2021 9:59:38;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/8/2021 10:26:35;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/8/2021 10:35:53;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/8/2021 10:56:06;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/8/2021 11:40:25;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/8/2021 12:02:54;SI;SI;SI;Poco satisfactoria;Regular;pedido en bolsa de comercio;
3/8/2021 12:40:45;NO;SI;SI;Nada satisfactoria;Muy Buena;Descarga de la página web de ATM;"EL TRÁMITE INICIADO ESTÁ EN PROCESO. POR ESO HE EVALUADO COMO NO SATISFACTORIO ""El trámite que realizó dentro de Mis Trámites fue resuelto de forma:"""
3/8/2021 12:59:27;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/8/2021 13:28:11;SI;SI;SI;Satisfactoria;Regular;Descarga de la página web de ATM;
3/8/2021 13:38:48;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/8/2021 13:53:52;SI;SI;SI;Poco satisfactoria;Regular;Descarga de la página web de ATM;
3/8/2021 13:58:14;SI;SI;SI;Satisfactoria;Buena;concurriendo personalmente a ATM;
3/8/2021 13:58:45;SI;SI;NO;Satisfactoria;Buena;Bolsa de comercio;
3/8/2021 15:31:30;SI;SI;SI;Poco satisfactoria;Mala;Descarga de la página web de ATM;EL 148 O EL 0800 NO FUNCIONA CORRECTAMENTE. AMPLIARIA LA POSIBILIDAD DE REALIIZAR A TRAMITES A CONTRIBUYENTES.
3/8/2021 15:38:43;SI;SI;SI;Satisfactoria;Buena;Recepción por correo electrónico;
3/8/2021 15:54:10;SI;SI;NO;Nada satisfactoria;Mala;Entrega en su domicilio real;Lo peor que han creado en ATM es el expediente electrónico, nadie resuelve los tramites y pueden pasar 3 meses sin solución. Es una vergüenza, que le paguen a la gente y no trabaje. ÑOQUIS
3/8/2021 15:57:43;NO;SI;SI;Satisfactoria;Buena;Entrega en su domicilio real;Quisiera consultar cómo debo inscribirme para pagar ATM, ya que ahora seré monotributista
3/8/2021 16:00:26;NO;SI;SI;Satisfactoria;Muy Buena;Recepción por correo electrónico;
3/8/2021 17:00:30;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/8/2021 18:01:18;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/8/2021 18:09:07;NO;SI;SI;Muy satisfactoria;Buena;Entrega en su domicilio real;
3/8/2021 18:44:23;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/8/2021 18:48:43;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/8/2021 19:22:27;SI;SI;NO;Nada satisfactoria;Mala;Descarga de la página web de ATM;Necesitamos que las respuestas a laos tramites sean claras y rapidas como cuando ibamos personalmente, gracias
3/8/2021 21:18:59;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/8/2021 23:02:22;SI;SI;SI;Satisfactoria;Buena;Recepción por correo electrónico;
3/9/2021 0:13:21;SI;SI;SI;Nada satisfactoria;Buena;Descarga de la página web de ATM;Deben atender y responder los correos de consulta del contribuyente. Hace mas de veinte días que hice una consulta y nada....el recurso humano es un deprimente
3/9/2021 8:11:14;NO;NO;NO;Nada satisfactoria;Mala;Banco nacion;
3/9/2021 8:19:51;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/9/2021 9:08:32;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/9/2021 9:38:09;SI;SI;SI;Satisfactoria;Muy Buena;Entrega en su domicilio real;
3/9/2021 9:44:19;SI;SI;NO;Poco satisfactoria;Mala;Recepción por correo electrónico;confuso cuando se quiere preguntar algo. no actualizados los pagos
3/9/2021 10:30:16;SI;SI;SI;Nada satisfactoria;Buena;Descarga de la página web de ATM;Capacitar al personal en materia educativa, ética y tacto con la gente.
3/9/2021 10:36:27;NO;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/9/2021 10:44:07;SI;SI;NO;Nada satisfactoria;Muy Buena;Descarga de la página web de ATM;Que mejoren la interacción dentro de trámites on line. Sugiero esto porque el día 27/02 solicite alta en ingresos brutos. Se me pidió adjuntar documentación,lo cual hice pero a hoy (previo envío de chat nunca respondidos por operador Celestino Herrera) no tengo respuesta. Por lo que nuevamente solicite el trámite de alta espero sea resuelto a la brevedad posible así puedo facturar. Y el 148 no da respuesta al tema.  
3/9/2021 10:50:43;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;"en cuanto a la resolucion del reclamo respondi muy satifactorio porque no me dejaba terminar la encuesta pero recien inicicio el tramite por lo que no se como sera la resulucion del mismo en tiempo y forma
pero consideo muy ejecutiva la pagina y muy comoda "
3/9/2021 10:55:14;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/9/2021 11:01:50;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;"Si bien ya se como realizar el inicio de un expediente por ahí me resulta un poquito confuso dar con trámites remoto tal vez es más directo ""Iniciar expediente"" o similar o resaltado de otra manera "
3/9/2021 11:44:52;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/9/2021 11:50:00;SI;SI;SI;Poco satisfactoria;Buena;Entrega en su domicilio real;
3/9/2021 11:54:23;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;Necesito actualizar mi correo electrónico (cambiarlo) y me resulto imposible. El viejo patodel62@hotmail.com  el actual  patonasif@yahoo.com.ar , si lo pueden hacer ustedes: agradecida, sino, por favor contactarse conmigo al nuevo correo por favor. O al celular 2613678939. Gracias 
3/9/2021 12:10:01;NO;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/9/2021 12:13:17;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/9/2021 12:15:25;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/9/2021 12:21:52;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;Actualizar al dia de pago el impuesto atrasado y asi evitar ir personalmente a Bolsa de Comercio a buscar papel para hacer pago por ventanilla. Enviar cupon de pago online de cuotas vencidas. Informar vencimiento de impuestos por mail- como recordatorio -
3/9/2021 12:31:48;SI;SI;SI;Poco satisfactoria;Muy Buena;Descarga de la página web de ATM;RESPONDAN MÁS RÁPIDO
3/9/2021 12:33:00;SI;SI;SI;Poco satisfactoria;Buena;Descarga de la página web de ATM;El trámite que inicié todavía no ha sido resuelto, por lo que no puedo decir si estoy satisfecho o no!
3/9/2021 12:37:20;SI;SI;SI;Nada satisfactoria;Buena;Descarga de la página web de ATM;"Algunos trámites no están claros, y hay una respuesta ""nada satisfactoria"", porque la encuesta se realiza antes de la resolución del trámite Y COMO ""SUGERENCIA"" poner un poco más de atención con el N° 148 ya que es IMPOSIBLE COMUNICARSE con el mismo"
3/9/2021 12:51:27;NO;SI;SI;Satisfactoria;Buena;Entrega en su domicilio real;
3/9/2021 13:02:05;NO;SI;NO;Poco satisfactoria;Regular;Entrega en su domicilio real;
3/9/2021 13:10:59;SI;SI;SI;Poco satisfactoria;Muy Buena;Descarga de la página web de ATM;Sería bueno que los trámites fuesen resueltos con más celeridad, ya que hemos presentado otro trámite por mi padre y lleva 20 días sin ser resuelto, mientras acrecentamos el saldo a favor de iibb.
3/9/2021 14:13:57;SI;SI;NO;Nada satisfactoria;Mala;Descarga de la página web de ATM;debe ser mas abarcativo ya que el tramite mío de compensación de inmobiliario no existe tuve que entrar por varios.-
3/9/2021 15:01:47;NO;SI;SI;Satisfactoria;Muy Buena;Recepción por correo electrónico;
3/9/2021 16:00:33;SI;SI;SI;Nada satisfactoria;Buena;Descarga de la página web de ATM;La boleta nunca llega a domicilio, deberían dejar que todos la descarguen por internet, porque sino gastan demasiado papel imprimiendo las boletas que vaya a saber por qué nunca llegan a destino y no se sabe dónde terminan.
3/9/2021 16:06:05;SI;NO;NO;Nada satisfactoria;Regular;no;Es muy  dilatado el tiempo en responder a consultas efectuadas
3/9/2021 16:11:13;SI;NO;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/9/2021 16:56:59;NO;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/9/2021 17:05:20;SI;NO;SI;Satisfactoria;Buena;Descarga de la página web de ATM;Lo que deberían agilizar sería la resolución de los expedientes de Mis Trámites on Line, porque suelen demorar algunas veces más de 30 días, cuando debería ser más expeditivo.
3/9/2021 17:07:06;SI;SI;SI;Poco satisfactoria;Regular;Descarga de la página web de ATM;"Para sellar un contrato de locación comercial en oficina de bolsa de comercio la empleada informa que ella no puede generar el sellado, dos veces tratamos por sellos web y hemos tratado ahora por mis tramites, debería ser más sencillo y los empleados de Rentas deberian ser colaboradores de los contribuyentes que queremos pagar nuestros impuestos.
el tiempo de cada persona vale, es una verguenza que teniendo todas las herramientas la empeada de bolsa de comercio de Rentas se niegue a generar un sellado  porque se debe hacer via web, creo que este es un servicio opcional, y si uno persona no tiene el conocimiento para hacerlo para eso debe estar el empleado para suplir cualquier deficiencia y que el contribuyente pague.  Agradeceria que fuese accesible tanto por pagina web como de forma presencial."
3/9/2021 18:37:17;NO;SI;SI;Satisfactoria;Buena;Recepción por correo electrónico;
3/9/2021 19:12:13;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/9/2021 19:17:25;NO;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/9/2021 19:26:12;SI;SI;NO;Satisfactoria;Buena;Descarga de la página web de ATM;
3/9/2021 19:53:02;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/9/2021 20:02:35;SI;SI;SI;Muy satisfactoria;Muy Buena;Lo visualizo por PAGO MIS CUENTAS. Pero en adelante de web ATM;
3/9/2021 20:17:49;SI;SI;SI;Poco satisfactoria;Regular;Descarga de la página web de ATM;no deja ver los saldos a favor y tiene los datos desactualizados
3/9/2021 20:46:32;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/9/2021 22:19:50;SI;SI;SI;Satisfactoria;Muy Buena;Recepción por correo electrónico;
3/9/2021 23:11:29;NO;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/10/2021 9:16:07;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;Mejorar canales de pago Online
3/10/2021 13:42:09;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/10/2021 13:53:39;SI;SI;SI;Satisfactoria;Muy Buena;Recepción por correo electrónico;
3/10/2021 14:24:16;SI;NO;SI;Satisfactoria;Regular;Descarga de la página web de ATM;poder ver inmuebles y autos de familiares
3/10/2021 14:29:28;SI;SI;SI;Muy satisfactoria;Buena;Recepción por correo electrónico;
3/10/2021 15:19:22;NO;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;Se tuvo que usar el trámite electrónico porque la pagina web para sellado no  lo permitía
3/10/2021 15:54:21;SI;SI;SI;Satisfactoria;Buena;Recepción por correo electrónico;
3/10/2021 16:47:46;NO;NO;NO;Satisfactoria;Regular;Entrega en su domicilio real;
3/10/2021 17:09:18;SI;SI;SI;Poco satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/10/2021 19:18:25;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/10/2021 19:24:59;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/10/2021 19:31:40;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/10/2021 21:00:17;NO;SI;SI;Satisfactoria;Regular;Recepción por correo electrónico;Avisen antes de embargar cajas de ahorro. Sobre todo siendo un pequeño contribuyente. Para colmo es una cuenta sueldo. Dejen de ser malas personas
3/10/2021 22:16:48;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;QUE LOS CAMBIOS DE TITULARIDAD DE LOS INMUEBLES REALMENTE SE REALICEN. HE TENIDO QUE HACER MUCHOS RECLAMOS POR ESE MOTIVO.
3/10/2021 22:42:14;SI;NO;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/11/2021 8:26:06;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/11/2021 8:53:28;SI;SI;SI;Poco satisfactoria;Buena;Descarga de la página web de ATM;muy lentos , como siempre, para resolver expedientes electronicos , sobre todo en las nuevas altas , cuando observan las tareas para ser resueltas por el publico, no las vuelven a ver para terminar un tramite.  DEMASIADO LENTOS 
3/11/2021 9:30:23;SI;SI;NO;Muy satisfactoria;Regular;Descarga de la página web de ATM;
3/11/2021 9:49:27;SI;SI;SI;Satisfactoria;Buena;Recepción por correo electrónico;
3/11/2021 11:02:39;SI;SI;SI;Nada satisfactoria;Muy Buena;Descarga de la página web de ATM;Hice un trámite en Agosto y lo resolvieron en Setiembre(bien), pero nunca aplicaron la modificación solicitada y resuelta
3/11/2021 11:10:52;SI;NO;NO;Nada satisfactoria;Mala;teléfono;muy muy muy lenta la atención telefónica. las personas que atienden el tel son muy amables pero es insuficiente . y ademas ya deberían volver a la cede central en calle Peltier
3/11/2021 11:35:18;SI;SI;NO;Poco satisfactoria;Buena;Descarga de la página web de ATM;PUDE REALIZAR MI CONSULTA MUY DEFECTUOSAMENTE NO SABIA DONDE ENTRAR Y LUEGO CUANDO LOGRO ENCONTRAR EL LUGAR NO ME DEJA INGRESAR MIS RECLAMOS. SOY JUBILADO Y PEDI AYUDA Y TAMBIEN LE COSTO ALA PERSONA QUE ME AYUDO .Y MI RECLAMO HACE VARIOS MESES QUE LO HICE Y NO TENGO RESPUESTA. POR ESO VUELVO A INSISTIR ESPERO PRONTA RESPUESTA 
3/11/2021 12:09:22;NO;SI;SI;Satisfactoria;Buena;No lo puedo descargar ;
3/11/2021 13:04:01;SI;SI;SI;Muy satisfactoria;Buena;Recepción por correo electrónico;
3/11/2021 13:17:04;SI;SI;NO;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;Lo único les pido la mayor celeridad posible en la solución de los expedientes. Gracias.
3/11/2021 13:18:08;NO;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/11/2021 13:33:22;NO;NO;NO;Satisfactoria;Buena;Descarga de la página web de ATM;
3/11/2021 14:22:25;NO;SI;SI;Satisfactoria;Buena;Recepción por correo electrónico;
3/11/2021 16:02:01;SI;SI;SI;Poco satisfactoria;Regular;Descarga de la página web de ATM;ES NECESARIA MAYOR CELERIDAD EN LAS RESPUESTAS A LOS TRÁMITES. NO PUEDEN DEMORARSE CASI UN MES EN RESOLVER UN TRÁMITE.
3/11/2021 16:46:59;SI;SI;SI;Muy satisfactoria;Buena;Descarga de la página web de ATM;
3/11/2021 16:49:19;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/11/2021 16:57:30;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/11/2021 18:21:01;SI;SI;SI;Muy satisfactoria;Buena;Descarga de la página web de ATM;
3/11/2021 18:36:10;NO;SI;SI;Satisfactoria;Buena;Recepción por correo electrónico;
3/11/2021 18:42:51;SI;SI;SI;Poco satisfactoria;Buena;Descarga de la página web de ATM;
3/11/2021 19:55:56;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/11/2021 20:38:36;SI;SI;NO;Poco satisfactoria;Buena;Descarga de la página web de ATM;
3/11/2021 21:33:51;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/11/2021 22:19:43;NO;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/12/2021 10:01:52;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/12/2021 10:03:08;NO;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/12/2021 10:03:18;NO;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/12/2021 10:10:14;SI;SI;NO;Satisfactoria;Buena;Descarga de la página web de ATM;
3/12/2021 10:18:01;SI;SI;SI;Satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/12/2021 10:29:44;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;
3/12/2021 10:30:27;SI;SI;SI;Satisfactoria;Buena;Descarga de la página web de ATM;RESPUESTA MAS RAPIDA DE LOS TRAMITES Y CONSULTAS. LA ATENCION POR 148 NO FUNCIONA,  NUNCA ATIENDEN.
3/12/2021 10:38:18;NO;SI;NO;Satisfactoria;Regular;Descarga de la página web de ATM; tiene que ser mas claro el instructivo, ya que van hacer que la gente  concurra a la oficina
3/12/2021 10:40:03;SI;SI;SI;Muy satisfactoria;Muy Buena;Descarga de la página web de ATM;
3/12/2021 10:57:28;NO;SI;NO;Nada satisfactoria;Buena;Descarga de la página web de ATM;
